VN2() X,VN2() Y
0.01,18.35631065477028
0.01584893192461114,11.00278698033769
0.02511886431509581,6.595174885068914
0.03981071705534974,3.95326683461007
0.06309573444801936,2.369692865302545
0.1000000000000001,1.420476532070035
0.1584893192461115,0.851495064592966
0.2511886431509582,0.5104301804728002
0.3981071705534975,0.3059826815627615
0.6309573444801937,0.1834272522024815
1.000000000000001,0.1099607125344536
1.584893192461115,0.06592004718490931
2.511886431509582,0.03951857959620293
3.981071705534976,0.02369083555679187
6.309573444801939,0.01420131948907993
10.00000000000001,0.008510866679435158
15.84893192461115,0.00509708176694219
25.11886431509583,0.003046958974611122
39.81071705534978,0.001812677751844032
63.09573444801941,0.001065344142042746
100.0000000000001,0.0006079184930033426
158.4893192461116,0.0003246914609922076
251.1886431509584,0.0001527200564048411
398.107170553498,5.957975402953154e-05
630.9573444801944,1.921234950837163e-05
1000.000000000002,5.441493365727756e-06
1584.893192461117,1.455123111788475e-06
2511.886431509585,3.868243197896721e-07
3981.071705534981,1.055976811823483e-07
6309.573444801947,3.023240703621223e-08
10000.00000000002,9.191320570980275e-09
15848.93192461117,2.977410795621746e-09
25118.86431509586,1.022298032003065e-09
39810.71705534983,3.680330892439402e-10
63095.7344480195,1.372144322164136e-10
100000.0000000003,5.240495725289584e-11
158489.3192461118,2.03324834102557e-11
251188.6431509587,7.967871835217296e-12
398107.1705534984,3.141800591783498e-12
630957.3444801952,1.24351280325869e-12
1000000.000000003,4.932827876811714e-13
1584893.192461119,1.959218430895737e-13
2511886.431509588,7.78531734018606e-14
3981071.705534986,3.092359185670985e-14
6309573.444801954,1.225763403441061e-14
10000000.00000003,4.828864428982917e-15
15848931.92461119,1.867793718897668e-15
25118864.31509589,6.816556788632053e-16
39810717.05534986,2.157077916163623e-16
63095734.44801955,6.459244909570298e-17
100000000,2.258163866981108e-17
